"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"078009","Altomonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3993,,
"046001","Altopascio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",15952,,
"055003","Alviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1345,,
"061003","Alvignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4450,,
"016008","Alzano Lombardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",13495,,
"006008","Alzano Scrivia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",359,,
"013007","Alzate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4823,,
"065006","Amalfi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4626,,
"109002","Amandola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3239,,
"078010","Amantea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",13829,,
"030002","Amaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",844,,
"079003","Amaroni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1642,,
"060005","Amaseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4082,,
"079004","Amato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",785,,
"057002","Amatrice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2208,,
"016009","Ambivere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2349,,
"011001","Ameglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4283,,
"055004","Amelia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11518,,
